Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),50,Bangladesh,2000,34.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),50,Bangladesh,2005,25.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),50,Bangladesh,2010,19.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),50,Bangladesh,2016,14.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2001,19.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2002,15.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2003,11.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2004,7.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2005,4.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2006,3.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2007,2.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2008,1.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2009,1.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2010,1.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2011,2.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2012,1.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2013,2.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2014,2.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2015,1.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),51,Armenia,2016,1.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2003,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2004,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2005,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2006,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2007,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2008,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2009,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2010,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2011,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2012,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2013,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2014,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),56,Belgium,2015,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),64,Bhutan,2003,17.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),64,Bhutan,2007,8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),64,Bhutan,2012,2.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),64,Bhutan,2017,1.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2000,28.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2001,22.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2002,24.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2004,13.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2005,19.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2006,16.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2007,12.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2008,11.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2009,10.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2011,7.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2012,8.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2013,6.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2014,5.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2015,6.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),68,Bolivia (Plurinational State of),2016,7.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),70,Bosnia and Herzegovina,2001,0.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),70,Bosnia and Herzegovina,2004,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),70,Bosnia and Herzegovina,2007,0.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),70,Bosnia and Herzegovina,2011,0.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),70,Bosnia and Herzegovina,2015,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),72,Botswana,2002,29.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),72,Botswana,2009,18.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2001,11.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2002,10.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2003,11.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2004,9.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2005,8.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2006,7.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2007,6.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2008,5.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2009,5.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2011,4.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2012,3.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2013,3.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2014,2.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),76,Brazil,2015,3.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),90,Solomon Islands,2005,45.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),90,Solomon Islands,2013,25.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2006,5.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2007,1.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2008,1.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2009,1.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2010,2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2011,2.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2012,2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2013,1.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),100,Bulgaria,2014,1.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),104,Myanmar,2015,6.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),108,Burundi,2006,77.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),108,Burundi,2013,71.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2000,7.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2001,3.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2002,2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2003,1.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2004,0.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2005,0.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2006,0.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2007,0.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2008,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2009,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2010,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2011,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2012,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2013,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2014,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2015,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),112,Belarus,2016,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),120,Cameroon,2001,23.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),120,Cameroon,2007,29.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),120,Cameroon,2014,23.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),124,Canada,2000,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),124,Canada,2004,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),124,Canada,2007,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),124,Canada,2010,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),124,Canada,2013,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),132,Cabo Verde,2001,16,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),132,Cabo Verde,2007,8.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),140,Central African Republic,2003,64.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),140,Central African Republic,2008,66.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),144,Sri Lanka,2002,8.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),144,Sri Lanka,2006,3.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),144,Sri Lanka,2009,2.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),144,Sri Lanka,2012,1.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),144,Sri Lanka,2016,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),148,Chad,2003,62.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),148,Chad,2011,38.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),152,Chile,2000,4.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),152,Chile,2003,4.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),152,Chile,2006,2.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),152,Chile,2009,2.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),152,Chile,2011,1.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),152,Chile,2013,0.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),152,Chile,2015,1.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2002,31.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2005,18.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2008,14.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2010,11.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2011,7.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2012,6.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2013,1.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2014,1.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),156,China,2015,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2000,16.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2001,19.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2002,14.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2003,12,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2004,10.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2005,9.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2008,10.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2009,9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2010,7.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2011,6.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2012,6.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2013,5.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2014,5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2015,4.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),170,Colombia,2016,4.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),174,Comoros,2004,13.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),174,Comoros,2013,18.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),178,Congo,2005,51.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),178,Congo,2011,37,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),180,Democratic Republic of the Congo,2004,94.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),180,Democratic Republic of the Congo,2012,77.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2000,6.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2001,4.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2002,4.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2003,4.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2004,4.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2005,3.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2006,3.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2007,1.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2008,2.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2009,2.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2010,1.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2011,1.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2012,1.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2013,1.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2014,1.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2015,1.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),188,Costa Rica,2016,1.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),191,Croatia,2009,1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),191,Croatia,2010,1.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),191,Croatia,2011,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),191,Croatia,2012,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),191,Croatia,2013,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),191,Croatia,2014,1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),191,Croatia,2015,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2004,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2005,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2006,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2007,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2008,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2009,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2010,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2011,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2012,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2013,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2014,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),196,Cyprus,2015,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),203,Czechia,2004,0,,,
